timestamp,state,epoch
2025-04-16T21:11:56.801315,0,0
2025-05-01T00:47:22.238857,0,0
2025-05-01T00:48:52.340018,1,1
2025-05-01T00:49:52.786597,1,2
2025-05-01T00:50:53.254374,1,3
2025-05-01T00:51:53.777994,1,4
2025-05-01T00:52:54.306233,1,5
